rg1,rg2,rg3,rg4,rg5,rg6,rg7,rg8,rg9,rg10,rx1,rx2,rx3,rx4,rx5,rx6,rx7,rx8,rx9,rx10,rwin
211,-481,813,-510,-6300,-11604,-11250,-12173,-9383,-12760,449,355,180,-201,-7177,-19438,-11526,-18157,-12920,-10431,1
-134,791,1103,2325,2876,3538,5852,12342,17285,23674,-152,32,1413,4073,4825,4662,8527,20429,26383,26947,1
375,84,1492,2228,2456,3101,3385,7585,10735,15302,336,-483,1480,2969,4029,4821,5515,11215,15483,16068,1
-5,-237,-2554,-4067,-5170,-9697,-6521,-8911,-11193,-17962,305,-181,-2624,-5898,-7992,-17896,-11590,-14125,-20101,-22070,0
-1312,-2163,-2603,-2954,-7162,-9955,-12429,-2616,5078,21501,-705,-851,1999,2729,1643,-3338,-5591,7249,15120,15032,1
-509,308,-92,1588,3829,4971,7108,7909,10743,17702,-270,-199,-501,1073,2162,5027,5552,6940,11438,20360,1
582,1173,1763,2182,3528,2472,-667,162,-837,-4793,49,914,1017,996,4272,2578,771,-776,-2541,-5222,0
-371,373,906,1253,758,-1146,-2607,-1039,3220,8918,-66,622,830,179,-58,-817,-830,1716,8789,14847,1
577,612,914,1781,2919,3833,3738,2985,3300,7712,249,-219,-148,602,792,947,1773,2031,1063,10519,1
340,297,186,-135,-1059,-3002,-5033,-7434,-6543,-8373,-37,-897,-452,-1,1259,-4279,-6328,-8849,-1969,-2329,0
-1218,-1609,-4191,-6465,-6069,-10853,-11708,-11103,-15207,-25255,-374,-128,-1059,-3581,-3274,-4003,-5905,-6175,-10381,-10389,0
844,794,291,758,423,995,2118,4244,7977,12050,320,31,-463,56,-243,1116,2247,3321,2925,6672,1
296,765,789,1411,4696,4556,5190,4486,7357,11574,638,1188,836,2193,3927,2819,3227,1709,660,9887,1
503,650,171,311,-1015,-2021,1659,4489,7315,12266,297,886,632,1164,547,-529,5350,13359,14846,11507,1
301,853,259,248,-996,-3880,-5209,-9534,-11260,-17469,230,336,-470,1833,-322,-5000,-9696,-14402,-17300,-26947,0
-1556,-1492,-4021,-5985,-4907,-2776,-3634,-7172,-9006,-14844,-703,-1381,-2350,-3946,-3813,-3866,-4445,-12404,-19897,-27185,0
566,2749,4418,6388,6300,9502,5651,3808,-1727,-2436,780,3211,4676,5718,4945,10095,4786,2431,-1160,-2886,0
-479,-277,-525,-630,-2133,-3077,-5221,-9816,-9808,-11093,6,-321,-288,-953,-1590,-1982,-4624,-7574,-6564,-8238,0
757,2405,987,592,103,-2228,-8139,-10406,-10233,-14101,350,1823,-39,-3214,-3253,-9886,-18503,-21427,-15707,-14866,0
415,866,1303,2201,4179,6712,4820,8473,7624,13632,330,1833,3273,4365,3385,7189,3796,10408,7926,18810,1
0,-1040,-3385,-3324,-2168,2320,841,5715,8684,7856,-763,-1229,-2170,-977,-2050,5686,5630,7382,14687,9401,1
-81,283,724,1539,2531,2754,2378,3005,5260,6014,-124,257,689,1495,2375,2569,2209,3361,5953,5112,1
-782,-815,-648,-3150,-3475,-2867,-4390,-6526,-13112,-20164,-507,-484,-809,-2135,-1226,-351,-525,-4212,-10890,-17021,0
35,-481,-233,-175,53,-694,-583,-1931,-4488,-9856,57,-1449,-1067,-1484,-707,-1053,-1224,-3572,-6621,-15793,0
512,1704,2826,3892,4303,5556,10601,10318,12260,9616,128,480,636,17,-1900,-31,4834,3516,8544,1359,1
-327,-450,349,238,3151,5419,8099,9718,8434,10410,-472,-812,-514,-442,1704,5241,6629,8273,5949,10046,1
-98,57,-194,-1204,-3402,-3468,-3025,-4160,-8709,-6215,192,302,-564,-1332,-2822,-2477,-3596,-3584,-3317,-655,0
454,2344,5033,6201,7769,7756,7709,10144,8088,1753,259,2637,5577,5047,8625,5035,2769,6950,3740,-2096,0
547,131,-791,-111,1618,1600,-67,365,6840,10764,773,21,105,867,4861,3822,520,887,10186,16211,1
11,-2398,-4943,-4770,-162,2248,8334,17641,22123,27564,-113,-1995,-2829,-3981,2368,4768,16716,29685,28149,32262,1
-679,-1635,-2048,-2865,-2609,-569,-1046,2598,6718,5645,-666,-2033,-1971,-4093,-1948,1094,-1715,7938,11920,15403,1
-754,-1291,-699,-1469,-1656,-4522,-5964,-6322,-7067,-18658,154,-529,48,-1073,-390,-3310,-3762,-4886,-3655,-17011,0
285,2091,2318,3693,5074,6622,9224,11212,13986,13254,-114,511,956,2837,3355,4793,5108,6312,6467,6376,1
399,-66,-439,-3378,-4219,-2463,-3507,2686,4572,7123,273,-323,-987,-2753,-4641,-2450,-451,8777,11740,15636,1
94,-1211,-1619,-512,462,2823,2588,5728,6480,10113,279,-662,-1323,529,1611,4161,5665,8594,13507,21623,1
352,307,2011,4066,5640,7039,8731,9477,10488,18343,536,325,1703,2316,5565,7394,5619,10285,11311,17126,1
73,562,800,674,1322,2694,6316,3263,3957,14786,213,851,1476,1455,1253,939,4118,-540,2250,15966,1
201,390,-390,44,916,-989,386,-1677,-7093,-12021,390,1011,207,637,2173,1784,5403,3395,-3657,-6811,0
-1061,-1110,-759,-366,-7022,-14733,-17598,-23994,-28242,-31550,-1269,-881,1659,3181,-4148,-17056,-20140,-18150,-14888,-10195,0
631,613,211,2675,-590,-434,2276,6170,6708,14965,-288,-980,-1514,996,-2124,-3136,4533,11685,12428,20946,1
-779,-1221,-1116,-4520,-3979,1240,2789,2112,2026,12890,-610,-1742,-1309,-1776,-898,7544,5153,2157,7405,19769,1
-51,-192,793,1754,2718,5794,3998,6286,14934,18878,-72,-194,808,2699,4547,7881,9395,8361,16976,13807,1
248,575,-52,971,2953,-12,33,-5162,-7874,-8894,390,191,-969,120,2754,-2060,1011,-6412,-11559,-13747,0
273,-777,901,-2435,-4010,-5192,-6099,-7671,-4242,7866,-201,-1127,-299,-3821,-6520,-4347,-4970,1168,3870,17975,0
403,171,351,1457,2064,24,471,466,-2258,-10321,886,563,914,474,2527,-50,1000,1674,-5326,-21391,0
477,1054,1772,3008,5355,6905,7581,6783,8644,11045,119,361,1137,979,2632,3230,2939,5332,8159,16115,1
-62,-828,-2132,-2605,2015,210,-4583,-7450,-10556,-16970,319,-1116,-1979,-3136,4997,-420,-6368,-6943,-11030,-16024,0
244,741,318,-2179,-3898,-4863,932,-2714,-2502,-1290,-901,-1492,-3216,-5909,-10279,-7969,359,-8955,-3901,-2357,0
-60,-369,-957,-764,-4067,-4095,-1606,-6475,-10477,-13274,-366,-834,-651,-2644,-5596,-6450,-3377,-9339,-16225,-8610,0
-273,-215,-2129,-4300,-7961,-10373,-9875,-11792,-15516,-20160,-972,-1187,-1568,-1731,-4369,-6548,-7059,-9354,-13355,-17392,0
1032,-207,-1288,-886,-257,-2613,-5306,-7352,1161,332,-192,-2282,-1893,1699,4748,-2094,-217,-11,6108,7498,0
-1351,-2586,-4281,-4396,-3260,-1060,-1460,-1659,-3170,-2291,-436,-1138,-2431,-1337,-1430,1632,1858,886,1263,3063,0
543,1751,1286,1319,982,1803,1383,586,2416,4771,161,1150,602,-373,-1188,1568,712,1354,2771,7776,1
1772,2349,2955,834,602,3197,9185,5023,4054,7870,1146,2010,3442,-758,2511,6744,5581,863,3185,3148,1
202,265,790,1142,1778,1902,2257,2468,6008,8831,-340,-720,-293,-67,439,899,1674,1868,7311,8660,1
1101,2838,4016,3690,8335,11952,18350,15028,14610,16158,506,2453,2379,102,3749,6196,11398,5606,5654,2377,1
92,366,-927,-1447,-2125,-3129,-4024,-5806,-2745,-3311,-972,-827,-1458,-2127,-2183,-2812,-3846,-8930,-3618,-3614,0
-1916,-1472,-3919,-6918,-9134,-8923,-7433,-4942,-12775,-17782,-618,-318,-2393,-4101,-6718,-7474,-7390,-6250,-16190,-22424,0
-681,-891,-127,-294,-1316,-3058,-4869,-7201,-12167,-17529,-469,-1115,-223,-2090,-2937,-4416,-6723,-11077,-16245,-22302,0
542,1343,569,1658,884,974,749,426,842,3742,-147,93,-243,1458,1140,296,-181,474,1629,3425,1
-1226,-1835,-3443,-3603,-3707,-5291,-7451,-1613,-5036,-9463,-297,-615,-1792,-3915,-4861,-8438,-12517,-1468,-6706,-7005,0
-515,23,-1242,-2403,-5502,-6297,-9272,-9463,-9137,-12870,-391,188,-1458,-2218,-3326,-4802,-9918,-12976,-13598,-23170,0
